run,query,data,load_time,exec_time
2,query-44.sparql,data_100.nt,125,103
2,query-46.sparql,data_100.nt,124,92
2,query-47.sparql,data_100.nt,124,97
2,query-48.sparql,data_100.nt,123,100
2,query-49.sparql,data_100.nt,122,137
2,query-5.sparql,data_100.nt,123,114
2,query-6.sparql,data_100.nt,126,734
2,query-7.sparql,data_100.nt,125,2000
2,query-8.sparql,data_100.nt,127,377
2,query-9.sparql,data_100.nt,125,87
3,query-0.sparql,data_100.nt,127,98
3,query-1.sparql,data_100.nt,131,118
3,query-10.sparql,data_100.nt,124,107
3,query-11.sparql,data_100.nt,125,153
3,query-12.sparql,data_100.nt,128,1130
3,query-13.sparql,data_100.nt,126,99
3,query-14.sparql,data_100.nt,128,110
3,query-15.sparql,data_100.nt,126,89
3,query-16.sparql,data_100.nt,125,216
3,query-17.sparql,data_100.nt,124,102
3,query-18.sparql,data_100.nt,129,93
3,query-19.sparql,data_100.nt,125,361
3,query-2.sparql,data_100.nt,126,39494
3,query-20.sparql,data_100.nt,126,131
3,query-21.sparql,data_100.nt,122,100
3,query-22.sparql,data_100.nt,125,12389
3,query-23.sparql,data_100.nt,127,816
3,query-24.sparql,data_100.nt,126,2186
3,query-25.sparql,data_100.nt,127,146
3,query-26.sparql,data_100.nt,127,84
3,query-27.sparql,data_100.nt,125,198
3,query-28.sparql,data_100.nt,123,368
3,query-29.sparql,data_100.nt,128,3326
3,query-3.sparql,data_100.nt,126,10280
3,query-30.sparql,data_100.nt,122,120
3,query-31.sparql,data_100.nt,128,89
3,query-32.sparql,data_100.nt,128,119
3,query-33.sparql,data_100.nt,125,87
3,query-34.sparql,data_100.nt,124,88
3,query-35.sparql,data_100.nt,132,180
3,query-36.sparql,data_100.nt,124,552
3,query-37.sparql,data_100.nt,125,110
3,query-38.sparql,data_100.nt,133,688
3,query-39.sparql,data_100.nt,157,130
3,query-4.sparql,data_100.nt,123,1853
3,query-40.sparql,data_100.nt,123,130
3,query-41.sparql,data_100.nt,124,2113
3,query-42.sparql,data_100.nt,126,88
3,query-43.sparql,data_100.nt,125,205
3,query-44.sparql,data_100.nt,124,100
3,query-46.sparql,data_100.nt,123,98
3,query-47.sparql,data_100.nt,132,105
3,query-48.sparql,data_100.nt,130,107
3,query-49.sparql,data_100.nt,124,135
3,query-5.sparql,data_100.nt,124,119
3,query-6.sparql,data_100.nt,124,736
3,query-7.sparql,data_100.nt,127,2012
3,query-8.sparql,data_100.nt,123,375
3,query-9.sparql,data_100.nt,126,87
4,query-0.sparql,data_100.nt,126,98
4,query-1.sparql,data_100.nt,124,120
4,query-10.sparql,data_100.nt,126,108
4,query-11.sparql,data_100.nt,121,152
4,query-12.sparql,data_100.nt,123,1137
4,query-13.sparql,data_100.nt,127,100
4,query-14.sparql,data_100.nt,126,112
4,query-15.sparql,data_100.nt,125,88
4,query-16.sparql,data_100.nt,125,213
4,query-17.sparql,data_100.nt,127,101
4,query-18.sparql,data_100.nt,125,88
4,query-19.sparql,data_100.nt,123,355
4,query-2.sparql,data_100.nt,133,39308
4,query-20.sparql,data_100.nt,125,128
4,query-21.sparql,data_100.nt,125,99
4,query-22.sparql,data_100.nt,123,12189
4,query-23.sparql,data_100.nt,126,827
4,query-24.sparql,data_100.nt,124,2211
4,query-25.sparql,data_100.nt,126,127
4,query-26.sparql,data_100.nt,126,82
4,query-27.sparql,data_100.nt,126,198
4,query-28.sparql,data_100.nt,123,359
4,query-29.sparql,data_100.nt,132,3353
4,query-3.sparql,data_100.nt,128,10472
4,query-30.sparql,data_100.nt,125,92
4,query-31.sparql,data_100.nt,127,86
4,query-32.sparql,data_100.nt,125,116
4,query-33.sparql,data_100.nt,124,81
4,query-34.sparql,data_100.nt,126,84
4,query-35.sparql,data_100.nt,127,155
4,query-36.sparql,data_100.nt,124,557
4,query-37.sparql,data_100.nt,127,107
4,query-38.sparql,data_100.nt,124,662
4,query-39.sparql,data_100.nt,125,120
4,query-4.sparql,data_100.nt,124,1922
4,query-40.sparql,data_100.nt,128,129
4,query-41.sparql,data_100.nt,126,2131
4,query-42.sparql,data_100.nt,127,87
4,query-43.sparql,data_100.nt,126,206
4,query-44.sparql,data_100.nt,125,101
4,query-46.sparql,data_100.nt,130,92
4,query-47.sparql,data_100.nt,125,100
