p,r
_:b1920,_:b1922
_:b1923,_:b1924
_:b1923,_:b1925
_:b1926,_:b1927
_:b1928,_:b1929
_:b1930,_:b1931
_:b1932,_:b1933
_:b1934,_:b1935
_:b1934,_:b1936
_:b1937,_:b1938
_:b1939,_:b1940
_:b1941,_:b1942
_:b1943,_:b1944
_:b1943,_:b1945
_:b1946,_:b1947
_:b1948,_:b1949
_:b1948,_:b1950
_:b1951,_:b1952
_:b1953,_:b1954
_:b1955,_:b1956
_:b1955,_:b1957
_:b1958,_:b1959
_:b1960,_:b1961
_:b1960,_:b1962
_:b1963,_:b1964
_:b1965,_:b1966
_:b1967,_:b1968
_:b1969,_:b1970
_:b1969,_:b1971
_:b1972,_:b1973
_:b1974,_:b1975
_:b1974,_:b1976
_:b1974,_:b1977
_:b1978,_:b1979
_:b1978,_:b1980
_:b1981,_:b1982
_:b1983,_:b1984
_:b1985,_:b1986
_:b1985,_:b1987
_:b1988,_:b1989
_:b1990,_:b1991
_:b1990,_:b1992
_:b1993,_:b1994
_:b1993,_:b1995
_:b1996,_:b1997
_:b1998,_:b1999
_:b2000,_:b2001
_:b2002,_:b2003
_:b2004,_:b2005
_:b2004,_:b2006
_:b2004,_:b2007
_:b2008,_:b2009
_:b2010,_:b2011
_:b2010,_:b2012
_:b2013,_:b2014
_:b2015,_:b2016
_:b2015,_:b2017
_:b2018,_:b2019
_:b2018,_:b2020
_:b2018,_:b2021
_:b2022,_:b2023
_:b2022,_:b2024
_:b2022,_:b2025
_:b2026,_:b2027
_:b2028,_:b2029
_:b2030,_:b2031
_:b2030,_:b2032
_:b2033,_:b2034
_:b2033,_:b2035
_:b2036,_:b2037
_:b2038,_:b2039
_:b2038,_:b2040
_:b2038,_:b2041
_:b2038,_:b2042
_:b2043,_:b2044
_:b2043,_:b2045
_:b2043,_:b2046
_:b2047,_:b2048
_:b2049,_:b2050
_:b2051,_:b2052
_:b2053,_:b2054
_:b2055,_:b2056
_:b2057,_:b2058
_:b2057,_:b2059
_:b2057,_:b2060
_:b2061,_:b2062
_:b2061,_:b2063
_:b2064,_:b2065
_:b2066,_:b2067
_:b2068,_:b2069
_:b2068,_:b2070
_:b2071,_:b2072
_:b2071,_:b2073
