run,query,data,type,phase,netw_time,reas_time
1,query-9.n3,data_100.nt,fwd,create,17,40
1,query-9.n3,data_100.nt,fwd,run,15,4
1,query-9.n3,data_100.nt,fwd,total,32,44
2,query-0.n3,data_100.nt,fwd,create,16,51
2,query-0.n3,data_100.nt,fwd,run,19,17
2,query-0.n3,data_100.nt,fwd,total,35,68
2,query-1.n3,data_100.nt,fwd,create,17,60
2,query-1.n3,data_100.nt,fwd,run,18,14
2,query-1.n3,data_100.nt,fwd,total,35,74
2,query-10.n3,data_100.nt,fwd,create,18,64
2,query-10.n3,data_100.nt,fwd,run,20,6
2,query-10.n3,data_100.nt,fwd,total,38,70
2,query-11.n3,data_100.nt,fwd,create,17,60
2,query-11.n3,data_100.nt,fwd,run,17,27
2,query-11.n3,data_100.nt,fwd,total,34,87
2,query-12.n3,data_100.nt,fwd,create,16,56
2,query-12.n3,data_100.nt,fwd,run,16,171
2,query-12.n3,data_100.nt,fwd,total,32,227
2,query-13.n3,data_100.nt,fwd,create,16,39
2,query-13.n3,data_100.nt,fwd,run,15,3
2,query-13.n3,data_100.nt,fwd,total,31,42
2,query-14.n3,data_100.nt,fwd,create,17,59
2,query-14.n3,data_100.nt,fwd,run,16,42
2,query-14.n3,data_100.nt,fwd,total,33,101
2,query-15.n3,data_100.nt,fwd,create,17,25
2,query-15.n3,data_100.nt,fwd,run,12,1
2,query-15.n3,data_100.nt,fwd,total,29,26
2,query-16.n3,data_100.nt,fwd,create,17,77
2,query-16.n3,data_100.nt,fwd,run,19,506
2,query-16.n3,data_100.nt,fwd,total,36,583
2,query-17.n3,data_100.nt,fwd,create,15,47
2,query-17.n3,data_100.nt,fwd,run,18,6
2,query-17.n3,data_100.nt,fwd,total,33,53
2,query-18.n3,data_100.nt,fwd,create,17,71
2,query-18.n3,data_100.nt,fwd,run,19,11
2,query-18.n3,data_100.nt,fwd,total,36,82
2,query-19.n3,data_100.nt,fwd,create,17,63
2,query-19.n3,data_100.nt,fwd,run,19,6
2,query-19.n3,data_100.nt,fwd,total,36,69
2,query-2.n3,data_100.nt,fwd,create,17,76
2,query-2.n3,data_100.nt,fwd,run,22,5070
